एक अनिवार्य अंत के रूप में मतलब है	0.38	0.821
मुझे एक मशाल और कुछ उपकरण प्राप्त करें	0.337	0.13
आप फाउंडेशन में वापस जाते हैं आप लेजर खत्म करते हैं और आप इसे वापस लाते हैं	0.392	0.708
बस शांत रहो हम जानते हैं कि तंत्र को कैसे रोकें	0.447	0.386
वह अपनी योनी को बंद करने वाला पहला व्यक्ति था है ना	0.494	0.98
इस तरह के बकवास के साथ मैं किसी भी तरह का सौदा कर रहा हूं	0.34	0.342
और आप इसे जानते हैं	0.11	0.223
अगर मुझे पता चलेगा कि आप कहां जा रहे थे	0.421	0.481
हे सर मैंने रेडियो यहाँ रखा क्या यह ठीक है	0.291	0.311
मैं कहूंगा चलो बाकी के बारे में सुनें	0.361	0.387
सबसे पहले उस बड़े गूंगा दिखने वाले व्यक्ति को चाबियाँ आने के लिए मिलना चाहिए	0.46	0.487
जब आप खेल रहे हों तो आप क्या सोचते हैं	0.362	0.359
अपनी मुस्कुराहट में आप हथौड़ों को झुका सकते हुए <unk> के लिए हथियार निकाल रहे थे	0.442	0.135
लेकिन इस बार मुझे सच में लगता है कि मैं सही हूँ	0.059	0.195
मैं तुम्हें मार दूंगा तुम झटकेदार हो उसमें से किसी को भी कोशिश करो	0.119	0.336
एडी चोई <unk> अच्छा चला गया	0.315	0.301
वह जागने के लिए बदतर है क्योंकि सबकुछ गिर गया है	0.377	0.662
क्या आप इस राज्य को एक जादूगर को आत्मसमर्पण करेंगे जो आपके राजा के मन का शासन करता है	0.32	0.049
लंबे समय तक इंतज़ार कर रहे हैं	0.454	0.479
जब मैं नाटक के लिए यह काम कर रहा था	0.225	0.339
कृपया मुझे चूमो जहां आप जानते हैं मुझे यह बच्चा पसंद है	0.207	0.083
साथ ही साथ एक बड़ा बॉक्स अधिक <unk> प्राप्त कर सकते हैं मुझे भी दूर रखो	0.05	0.156
अब मैं कभी भी कल्पना की तुलना में छल में डूब गया मैंने वापस देखा और मैंने कुछ और देखा	0.405	0.806
मुझे लगता है कि हम बल्लेबाजी करेंगे	0.372	0.174
किसी भी जासूस के लिए दो बिंदुओं के बीच सबसे छोटी दूरी एक सीधी रेखा है लेकिन लुईस के लिए उसे हमें पिछली शताब्दी में वापस ले जाना है	0.073	0.125
आप रहना चाहते हैं यह भी ठीक है लेकिन अपने देवता को रोका बंद करो	0.201	0.062
यही कारण है कि वह अलग हो रहा है	0.227	0.242
मां कहते हैं कि यदि आप एक ईमानदार आदमी <unk> खोल बनाते हैं तो आप पर्दे चुनने में मदद करते हैं	0.022	0.377
इसका मतलब यह नहीं है कि वे इस्तेमाल होने जा रहे हैं	0.302	0.313
मैंने सोचा कि आप <unk> नियुक्त करने जा रहे थे	0.276	0.099
मैं यह नहीं समझ सकता कि इस सॉस में मशरूम <unk> या <unk> हैं या नहीं	0.486	0.683
बेशक हमारे पास है लेकिन हम में से कोई भी इसे नहीं चाहता है	0.283	0.229
खैर देखो योजनाओं में बदलाव आया है	0.443	0.889
जो दर्द मैं गवाह करता हूं वह मुझे ले जाता है	0.253	0.282
क्या वे वहां मुक्केबाजी करेंगे या	0.364	0.192
मुख्य कार्यालय में लौटने के लिए हैं	0.326	0.245
सामान्य जो आप चाहते हैं और जो आपको मिलता है के बीच आधा रास्ते है	0.057	0.013
मुझे अतीत को जाने देना पड़ा	0.228	0.069
शायद यह कहने का उसका तरीका है क्षमा करें मेरा मतलब है वह आप पर भरोसा कर रहा है है ना	0.423	0.838
यदि आप स्क्रॉल को पूर्ववत करते हैं तो ज़ेन वापस आ जाएगा और फिर सेना हमला नहीं करेगी	0.492	0.105
आप जानते हैं कि अंडरवर्कर पुलिस जिस पर लेस नाइट की हत्या का आरोप लगाया गया था	0.448	0.24
चाची झोउ क्या माओ चेन के साथ मिलती है	0.378	0.899
नहीं नहीं इसे करने पर विचार करें	0.237	0.23
शायद शहर से बाहर कुछ बेवकूफ इसे खरीद लेंगे इससे पहले कि वह आपको पता <unk> है कि कौन अगला दरवाजा रहता है	0.32	0.175
नहीं मैं नहीं करूँगा क्योंकि तुम नहीं जा रहे हो	0.056	0.295
उसने अभी कहा कोई स्ट्रिपर्स नहीं	0.487	0.219
भगवान के लिए चुप रहो	0.002	0.19
आपको लगता है कि मैं दो मिल सकता है	0.498	0.702
वहां कैसे जा रहा है उसे बेहतर बनाते हैं	0.147	0.111
श्री ब्लॉट ने अकादमी के चारों ओर एडम को दिखाया और उन्हें अपने विशेष रहस्यों के बारे में बताया	0.121	0.052
लेकिन मैं महसूस करता हूं कि यह होगा	0.473	0.524
हम आपकी मदद करने आए थे	0.133	0.102
आपको भी एक होना होगा	0.264	0.386
एक <unk> आज होनोलूलू लेना चाहता था	0.416	0.827
जब तक वे मेरे परिवार को छिपाते हैं तब तक मैं उनसे कुछ भी करूंगा जो वे मुझसे पूछते हैं	0.407	0.209
ओह मैं क्षमा चाहता हूँ	0.019	0.299
हो सकता है कि राजमार्ग थोड़ा सा इंतजार कर सके	0.405	0.359
आपको वह पैसा मिलेगा भले ही आपको अपने भाई को मारना पड़े	0.428	0.209
अंकल बुब्बा ने यह भी कहा कि आप उसे और चाची सैली खरीदेंगे	0.083	0.166
क्या कोई <unk> आया था	0.088	0.301
खुद को बहुत आरामदायक नहीं है	0.428	0.127
मैंने कई बार कहा है कि मैं अपने ड्रेसिंग रूम में कार्नेशन नहीं चाहता	0.092	0.204
मुझे कुछ कॉफी चाहिए क्या आपको एक कप पसंद आएगा	0.111	0.249
एक बार जब आप इसे जानते हैं तो आप एक बेहतर कहानी लिखेंगे	0.289	0.133
तो चांडलर क्या आपने मोनिका के गुप्त प्रेमी के बारे में सुना है	0.486	0.991
हम इन असली लोगों या अतिरिक्त हैं	0.054	0.266
क्या आपको लगता है कि मैं डोनी को मारना चाहता हूं	0.493	0.544
मेरा मतलब है वास्तव में शहद असली हो जाओ	0.051	0.242
दूसरे शब्दों में आप कह रहे हैं कि आप हारना चाहते हैं	0.157	0.114
हाँ ठीक है मानचित्र कहता है कि हम गड़बड़ हैं	0.459	0.23
उन्हें लड़कियों को खोजें	0.489	0.367
ठीक है मुझे कहना चाहिए	0.066	0.01
मुझे एहसास है कि हम बड़ी परेशानी में आ जाएंगे	0.15	0.372
मैंने अपने अनुभव को काम से लिया है जो बिजली इलेक्ट्रॉनिक्स है	0.253	0.088
<unk> में हम सभी को वापस सफलता की गर्व है	0.336	0.306
मैंने उन टेलीग्राफ तारों को साफ कर दिया जैसे आपने मुझे बताया जेसी	0.405	0.631
मेरी उम्र में मुझे किसी पर दुबला होना चाहिए	0.324	0.074
यह पेपर दिखाता है कि आप एक स्वतंत्र महिला हैं आपको यंकियों द्वारा उठाए जाने से रोकते हैं	0.251	0.137
आप <unk> ट्रम्प में नहीं जा रहे हैं	0.477	0.602
खैर और यह सब के साथ मैंने सोचा कि मैं गलत जगह पर था	0.344	0.169
मैं समझता हूं कि भाई कैसा महसूस करता है	0.219	0.347
इस तरह दिखने मत दिखाओ	0.171	0.13
मुझे नहीं पता कि इसे कैसे बनाया जाए	0.135	0.375
इसे किसी से ले लो जिसने अपने <unk> को जीवन में बहुत जल्दी मिला प्यार में होना एक शानदार रहस्य है जो एक आदमी और एक औरत लेता है	0.193	0.058
मेरे पिता कहते थे कि <unk> तब तक निर्विवाद नहीं था जब तक आप ध्यान में रखते थे कि सच्चाई सर्वोच्च कानून है	0.104	0.261
ऐसा कहा जाता है कि एक बच गया	0.009	0.198
मैं वास्तव में दंडनीय नहीं बनना चाहता हूं	0.316	0.227
क्या आप उम्मीद करते हैं कि <unk> की तरह लोगों को चेन करने का अधिकार है	0.024	0.063
लेकिन अब मैं उसके भोजन लाने से डरता हूं	0.116	0.314
श्रीमान राष्ट्रपति किसी भी तरह से मदद करने के लिए तैयार हैं	0.13	0.398
इससे क्या फर्क पड़ता है कि वह वहां कैसे पहुंचा	0.351	0.997
वह आपको निर्दोष नहीं बना सकता है	0.3	0.226
chffe7c5 मुझे आश्चर्य है	0.397	0.283
अगर मेरे पास था तो आप सबसे पहले जान लेंगे आह	0.419	0.037
यह आखिरी जगह है जो मुझे पता है कि उन्होंने कभी आने का सोचा होगा	0.315	0.252
स्वैन ने कहा कि वह एक आवास संपत्ति के लिए योजनाओं पर चर्चा करने के लिए ऑफ मौके पर चले गए वाटसन उनके लिए डिजाइन कर रहे थे	0.094	0.061
यह मुझे होना है	0.017	0.353
<unk> तुम कैसे कर रहे हो	0.313	0.305
हम आपको एक सुंदर बच्चा बनाने जा रहे हैं	0.289	0.139
अब कृपया एक बार बिस्तर पर वापस जाओ	0.331	0.911
