एक अनिवार्य अंत के रूप में मतलब है	0.38	0.821	एक essential अंत के form में meaning है
मुझे एक मशाल और कुछ उपकरण प्राप्त करें	0.337	0.13	i need a मशाल और कुछ उपकरण प्राप्त करें
आप फाउंडेशन में वापस जाते हैं आप लेजर खत्म करते हैं और आप इसे वापस लाते हैं	0.392	0.708	आप foundation में return जाते हैं आप laser finish करते हैं and आप इसे back लाते हैं
बस शांत रहो हम जानते हैं कि तंत्र को कैसे रोकें	0.447	0.386	just relax हम जानते हैं कि system को कैसे रोकें
वह अपनी योनी को बंद करने वाला पहला व्यक्ति था है ना	0.494	0.98	वह अपनी wife को close करनेवाला first person था ना
इस तरह के बकवास के साथ मैं किसी भी तरह का सौदा कर रहा हूं	0.34	0.342	इस तरह के rubbish के साथ मैं किसी भी तरह का deal कर रहा हूं
और आप इसे जानते हैं	0.11	0.223	और आप इसे जानते हैं simply
अगर मुझे पता चलेगा कि आप कहां जा रहे थे	0.421	0.481	if मुझे पता चलेगा कि आप where were you
हे सर मैंने रेडियो यहाँ रखा क्या यह ठीक है	0.291	0.311	hey sir मैंने radio यहाँ रखा क्या यह ठीक है
मैं कहूंगा चलो बाकी के बारे में सुनें	0.361	0.387	i will say चलो बाकी के बारे में listen
सबसे पहले उस बड़े गूंगा दिखने वाले व्यक्ति को चाबियाँ आने के लिए मिलना चाहिए	0.46	0.487	first of all उस बड़े गूंगा दिखने वाले person को keys आने के लिए मिलना चाहिए
जब आप खेल रहे हों तो आप क्या सोचते हैं	0.362	0.359	जब आप play कर रहे हों तो what do you think
अपनी मुस्कुराहट में आप हथौड़ों को झुका सकते हुए <unk> के लिए हथियार निकाल रहे थे	0.442	0.135	अपनी मुस्कुराहट में आप हथौड़ों को झुका सकते हुए supported by cutting weapons for us
लेकिन इस बार मुझे सच में लगता है कि मैं सही हूँ	0.059	0.195	लेकिन इस बार मुझे सच में लगता है कि मैं correct हूँ
मैं तुम्हें मार दूंगा तुम झटकेदार हो उसमें से किसी को भी कोशिश करो	0.119	0.336	मैं तुम्हें मार दूंगा तुम liar हो उसमें से किसी को भी try करो
