एक अनिवार्य अंत के रूप में मतलब है	0.38	0.821	एक essential अंत के form में meaning है	उसे अपने <unk> के फल दें और उसे अनगिनत results के लिए <unk> के लिए <unk> के सामने मैं पुरुषों को देखता हूं और surprise करता हूं how god सकता है एक <unk> female के लिए
मुझे एक मशाल और कुछ उपकरण प्राप्त करें	0.337	0.13	i need a मशाल और कुछ उपकरण प्राप्त करें	इस <unk> group के प्रमुख होने के लिए केवल शुरुआत है
आप फाउंडेशन में वापस जाते हैं आप लेजर खत्म करते हैं और आप इसे वापस लाते हैं	0.392	0.708	आप foundation में return जाते हैं आप laser finish करते हैं and आप इसे back लाते हैं	हमने उसे road दिखाया चाहे अब वह <unk> या <unk> बने
बस शांत रहो हम जानते हैं कि तंत्र को कैसे रोकें	0.447	0.386	just relax हम जानते हैं कि system को कैसे रोकें	connect to <unk> connect
वह अपनी योनी को बंद करने वाला पहला व्यक्ति था है ना	0.494	0.98	वह अपनी wife को close करनेवाला first person था ना	enter करे तुम झूठ बोला
इस तरह के बकवास के साथ मैं किसी भी तरह का सौदा कर रहा हूं	0.34	0.342	इस तरह के rubbish के साथ मैं किसी भी तरह का deal कर रहा हूं	उन दिनों में मैं हमेशा अपने husband को याद करता था
और आप इसे जानते हैं	0.11	0.223	और आप इसे जानते हैं simply	और उन्होंने मेरे साथ बड़ी problem की
अगर मुझे पता चलेगा कि आप कहां जा रहे थे	0.421	0.481	if मुझे पता चलेगा कि आप where were you	मैं outside आ रहा हूँ
हे सर मैंने रेडियो यहाँ रखा क्या यह ठीक है	0.291	0.311	hey sir मैंने radio यहाँ रखा क्या यह ठीक है	भले ही वह चले गए इसलिए यदि कोई भी mind में नहीं आता है
मैं कहूंगा चलो बाकी के बारे में सुनें	0.361	0.387	i will say चलो बाकी के बारे में listen	क्या वह वह एक boy था वह क्या <unk>
सबसे पहले उस बड़े गूंगा दिखने वाले व्यक्ति को चाबियाँ आने के लिए मिलना चाहिए	0.46	0.487	first of all उस बड़े गूंगा दिखने वाले person को keys आने के लिए मिलना चाहिए	खैर हम better ढंग से इन्हें पानी से पहले water में डाल देंगे
जब आप खेल रहे हों तो आप क्या सोचते हैं	0.362	0.359	जब आप play कर रहे हों तो what do you think	यहां से हम <unk> को आधार पर पार करते हैं जहां bomb है
अपनी मुस्कुराहट में आप हथौड़ों को झुका सकते हुए <unk> के लिए हथियार निकाल रहे थे	0.442	0.135	अपनी मुस्कुराहट में आप हथौड़ों को झुका सकते हुए supported by cutting weapons for us	party पूरी रात जा रही है
लेकिन इस बार मुझे सच में लगता है कि मैं सही हूँ	0.059	0.195	लेकिन इस बार मुझे सच में लगता है कि मैं correct हूँ	आप unknown में प्रवेश कर रहे हैं
मैं तुम्हें मार दूंगा तुम झटकेदार हो उसमें से किसी को भी कोशिश करो	0.119	0.336	मैं तुम्हें मार दूंगा तुम liar हो उसमें से किसी को भी try करो	<unk> session <unk> <unk>
एडी चोई <unk> अच्छा चला गया	0.315	0.301	एडी चोईव good go	यहां हम हैं उसने जीता नहीं है लेकिन वह वह boy है जिसने मेरी help की
वह जागने के लिए बदतर है क्योंकि सबकुछ गिर गया है	0.377	0.662	वह awaking के लिए worst है because सबकुछ fell है	फिर किसी को ढूंढें जो can do
क्या आप इस राज्य को एक जादूगर को आत्मसमर्पण करेंगे जो आपके राजा के मन का शासन करता है	0.32	0.049	क्या आप इस राज्य को एक जादूगर को आत्मसमर्पण करेंगे जो your rule rule rules the mind of your king	माँ के nearby नहीं होने पर आप क्या करने जा रहे हैं
लंबे समय तक इंतज़ार कर रहे हैं	0.454	0.479	long time तक wait कर रहे हैं	उनके पिता एक <unk> और <unk> <unk> <unk> थे और यह उनकी emotional wife के लिए <unk> के लिए <unk> नहीं था हमारे <unk> को <unk> <unk> <unk> के रूप में उठाया गया है हमारे पास कोई कहानी नहीं होगा और say
जब मैं नाटक के लिए यह काम कर रहा था	0.225	0.339	जब मैं drama के लिए यह काम कर रहा था	शायद मैं मूर्ख हूं लेकिन i think that <unk> को दूसरी बार arrest करने के लिए यह <unk> होगा
कृपया मुझे चूमो जहां आप जानते हैं मुझे यह बच्चा पसंद है	0.207	0.083	please please मुझे चूमो जहां आप जानते हैं मुझे यह बच्चा पसंद है	वे इसे destruction के लिए use करना चाहते हैं
साथ ही साथ एक बड़ा बॉक्स अधिक <unk> प्राप्त कर सकते हैं मुझे भी दूर रखो	0.05	0.156	साथ ही साथ एक बड़ा box अधिक्रीम प्राप्त कर सकते हैं मुझे भी दूर रखो	अगर यह मैं हूं then मैं इसे सब रखता हूं
अब मैं कभी भी कल्पना की तुलना में छल में डूब गया मैंने वापस देखा और मैंने कुछ और देखा	0.405	0.806	अब मैं कभी भी imagine की compare में slum में sink गया मैंने back देखा and मैंने कुछ और see	अगले महीने से यह program <unk> <unk> के प्रेरित teachers के लिए भी उपलब्ध होगा
मुझे लगता है कि हम बल्लेबाजी करेंगे	0.372	0.174	मुझे लगता है कि हम will bat	मुझे लगता है कि मैं थोड़ा सा walk करूंगा
किसी भी जासूस के लिए दो बिंदुओं के बीच सबसे छोटी दूरी एक सीधी रेखा है लेकिन लुईस के लिए उसे हमें पिछली शताब्दी में वापस ले जाना है	0.073	0.125	किसी भी जासूस के लिए दो points के बीच सबसे छोटी दूरी एक सीधी line है लेकिन लुईस के लिए उसे हमें पिछली शताब्दी में वापस ले जाना है	s u image देखी है
आप रहना चाहते हैं यह भी ठीक है लेकिन अपने देवता को रोका बंद करो	0.201	0.062	you want to live यह भी ठीक है लेकिन अपने देवता को रोका बंद करो	दुनिया के किसी काम न golden
यही कारण है कि वह अलग हो रहा है	0.227	0.242	यही कारण है कि he is getting different	असल में यह song song भी नहीं है
मां कहते हैं कि यदि आप एक ईमानदार आदमी <unk> खोल बनाते हैं तो आप पर्दे चुनने में मदद करते हैं	0.022	0.377	मा कहते हैं कि यदि आप एक ईमान्दार आदमीTYPE खोलते हैं तो आप पर्दे चुनने में मदद करते हैं	यह पूछने के लिए बहुत कुछ नहीं है i नहीं think यह है
इसका मतलब यह नहीं है कि वे इस्तेमाल होने जा रहे हैं	0.302	0.313	इसका meaning यह नहीं है कि वे use होने जा रहे हैं	यह एक doctor के साथ बात करने का कोई way नहीं है
मैंने सोचा कि आप <unk> नियुक्त करने जा रहे थे	0.276	0.099	i thought आपतप appoint करने जा रहे थे	मैं कल मंदिर जा रहा हूं और मुझे early start करने की जरूरत है
मैं यह नहीं समझ सकता कि इस सॉस में मशरूम <unk> या <unk> हैं या नहीं	0.486	0.683	मैं can’t understand की इस sauce में mushroom or yaar हैं या नहीं	मैं देखता हूं कि आप इसके बारे में कितनी strongly महसूस करते हैं ठीक है
बेशक हमारे पास है लेकिन हम में से कोई भी इसे नहीं चाहता है	0.283	0.229	of course हमारे पास है but हम में से कोई भी इसे नहीं चाहता है	who knows what he is
खैर देखो योजनाओं में बदलाव आया है	0.443	0.889	खैर देखो plans में change आया है	आप पूछेंगे कि who is <unk>
जो दर्द मैं गवाह करता हूं वह मुझे ले जाता है	0.253	0.282	जो pain मैं witness करता हूं वह मुझे ले जाता है	आप की एक picture के साथ यह magazine और उह
क्या वे वहां मुक्केबाजी करेंगे या	0.364	0.192	क्या वे वहां मुक्केबाजी करेंगे or else	<unk> what happened
मुख्य कार्यालय में लौटने के लिए हैं	0.326	0.245	main office में लौटने के लिए हैं	खुद को कुछ imported करें
सामान्य जो आप चाहते हैं और जो आपको मिलता है के बीच आधा रास्ते है	0.057	0.013	normal जो आप चाहते हैं और जो आपको मिलता है के बीच आधा रास्ते है	और आप वादा करते हैं कि आप मुझे चोट नहीं करपहुँचा सकते सावधान हमें सुन सकता है boss मुझे इसे हरा देना है क्या आप पचास dollar के लिए fight के लिए यह चाहते हैं पचास dollar रख लो और फिर भी इस तरह से भटक जाते हैं यह पूरे city के लिए यह पूरा पैसे पाने की उम्मीद है
मुझे अतीत को जाने देना पड़ा	0.228	0.069	i have to let the past go	एक <unk> which <unk> तथा <unk> का set
